state_abbreviation,state,status,date_details,restriction_start,restriction_end,status_details,external_link,opened_outdoor_and_recreation,opened_entertainment,opened_food_and_drink,closed_entertainment,closed_food_and_drink,opened_houses_of_worship,opened_retail,opened_personal_care,opened_industries,closed_outdoor_and_recreation,population
AK,Alaska,reopened,Reopened April 24.,,,"Gov. Mike Dunleavy, a Republican, eased restrictions on several kinds of businesses starting April 24. Alaska became one of the first states to make a nearly complete reopening, with all businesses allowed to open at full capacity on May 22.",https://www.cnn.com/2020/05/21/us/alaska-reopening-friday/index.html,Gyms; Pools,Libraries; Theaters; Bowling alleys; Museums,Restaurant dining; Bars,,,True,Retail stores,"Hair salons, barbershops, nail salons, etc.",,,731545
AL,Alabama,pausing,Reopened April 30.,,,"Gov. Kay Ivey, a Republican, ordered residents to stay home for much of April and began reopening businesses starting in May. Ms. Ivey extended the state’s “Safer at Home” status and implemented a mask requirement until the end of July.",https://www.al.com/news/2020/06/gov-kay-ivey-offering-coronavirus-update-today.html,Beaches; Gyms,Entertainment venues,"Restaurant dining, bars and breweries",,,True,Retail stores,Salons,,,4903185
AR,Arkansas,pausing,Reopened May 6.,,,"Gov. Asa Hutchinson, a Republican, never implemented a statewide stay-at-home order, instead opting to close high-contact businesses like gyms and personal care services. The state began reopening many of these in early May. Arkansas has seen one of the steepest increases in coronavirus cases since reopening. In response, Mr. Hutchinson implemented a mask mandate effective July 20.",https://www.kspr.com/content/news/Arkansas-governor-No-further-reopening-as-virus-cases-surge-571501921.html,Campgrounds; Gyms; Pools,"Theaters, stadiums, museums, bowling alleys; Casinos; Large venues",Restaurant dining; Bars,,,True,Retail,"Hair salons, barbershops, nail salons, etc.",,,3017804
AZ,Arizona,reversing,Reopened May 8.,,,"After Gov. Doug Ducey’s stay-at-home order expired May 15, Arizona saw cases soar. In late June, Mr. Ducey, a Republican, announced that the state would “pause” operations of bars, gyms, movie theaters, waterparks and tubing rentals to contain the virus’s spread.",https://www.azcentral.com/story/news/local/arizona-health/2020/06/29/arizona-coronavirus-update-from-governor-doug-ducey-june-29/3280626001/,"Pools, spas",Casinos,Restaurant dining,Movie theaters,Bars,True,Retail stores,"Barbershops, salons, etc.",,Gyms; Waterparks,7278717
CA,California,reversing,Reopened May 25.,,,"Gov. Gavin Newsom, a Democrat, emphasized caution as he allowed counties to reopen sectors in May and June. As cases rose in June and July, however, Mr. Newsom backtracked, ordering statewide closures of bars and indoor activities in many sectors including dining and entertainment. The state is also keeping a “watch list” of counties with upward virus trends.",https://www.latimes.com/projects/california-coronavirus-cases-tracking-outbreak/reopening-across-counties/,Gyms in some counties,Casinos in some areas; Zoos in some counties,Outdoor dining,"Movie theaters; Museums, galleries, and aquariums; Arcades and bowling alleys",Bars,Houses of worship in some counties,Retail,"Pet groomers; Hair salons and barbershops in some counties; Nail salons, cosmetology services, tattoo parlors, piercing shops in some counties","Manufacturing; Warehouses; Offices in some counties; Movie, TV and music production",,39512223
CO,Colorado,reversing,Reopened April 27.,,,"Gov. Jared Polis was one of the first Democratic governors to begin reopening his state, letting Colorado’s stay-at-home order expire on April 26. Businesses reopened throughout May and June, but in response to continuing outbreaks in neighboring states, in July, Mr. Polis extended the state’s “Safer at Home” phase and closed bars. He is allowing some regions to reopen bars and loosen restrictions.",https://denver.cbslocal.com/2020/06/30/polis-colorado-bars-coronavirus/,"Campgrounds; Pools, playgrounds; Gyms","Museums, indoor events; Fairs, rodeos, concerts, outdoor events; Libraries",Restaurant dining,Casinos,Bars,True,Retail stores,Salons and personal services,Offices; Manufacturing,,5758736
CT,Connecticut,pausing,Reopened May 20.,,,"Connecticut was one of the last states to begin reopening, on May 20. Gov. Ned Lamont, a Democrat, moved up a second phase of reopening in June after a favorable downward trend in case numbers. But Mr. Lamont postponed a third phase in response to rising cases in neighboring states.",https://www.courant.com/coronavirus/hc-news-coronavirus-clb-reopening-paused-20200707-lnivp6hb4redtphmjj7yif3kci-story.html,Beaches; Gyms; State campgrounds,"Museums, zoos; Casinos; Movie theaters; Libraries; Amusement parks, bowling alleys",Restaurant dining,,Bars,True,"Retail stores, malls","Hair salons, barbershops; Nail salons; Tattoo parlors, spas",Offices,,3565287
DC,District of Columbia,reopening,Reopened May 29.,,,"Washington, D.C., was under one of the nation’s strictest lockdowns until reopening on May 29. On June 22,  Mayor Muriel Bowser, a Democrat, opened a second round of businesses. On July 24, she signed an order requiring masks.",https://www.washingtonpost.com/dc-md-va/2020/05/08/dc-reopen-coronavirus-faq/,"Dog parks, golf courses, tennis courts, parks; Gyms; Pools","Museums, libraries",Restaurants dining,Nightclubs,,True,Retail stores,"Barbershops, hair salons; Nail salons, waxing salons, spas",,,705749
DE,Delaware,pausing,Reopened June 1.,,,"Gov. John Carney, a Democrat, has overseen one of the slower reopenings, beginning June 1 with a limited number of businesses. After an increase in cases, Mr. Carney decided to delay the start of Phase 3, which was scheduled for the end of June.",https://www.delawareonline.com/story/news/coronavirus-in-delaware/2020/06/25/delaware-wont-go-into-phase-3-monday-gov-john-carney-says-coronavirus-delaware-reopen-covid-19/3260541001/,Beaches; Pools; Gyms; Campgrounds,"Museums, libraries, galleries, live performances; Casinos",Farmers markets; Restaurants; Bars in some areas,,,True,Retail stores; Malls,"Barber shops, hair salons, tanning salons; Nail salons, tattoo parlors, massage therapy",,,973764
FL,Florida,reversing,Reopened May 4.,,,"Gov. Ron DeSantis, a Republican, gradually opened businesses in May, starting in Florida’s less populous counties. In early June, he moved forward with reopening bars and larger entertainment venues in some counties, even as case counts rose. On June 26, he moved to effectively shutter bars again after a spike in cases.",https://www.tampabay.com/news/health/2020/06/26/drinking-alcohol-at-florida-bars-suspended/,"Beaches, trails; Gyms","Sporting venues without spectators; Museums, libraries; Movie theaters, concert halls, bowling alleys in most counties",Restaurant dining,,Bars,True,Retail stores,"Salons; Tattoo parlors, massage therapy, tanning salons, acupuncture in most counties",,,21477737
